Sample_ID,Ecosystem,Distance_equator,MAT,MAP,Fine_texture,pH,Plant_cover,Forest,Grassland,Soil_C,Richness_fungi,Richness_bacteria,Dominant_fungi,Dominant_bacteria,Fungal_biomass,Bacterial_biomass,Ratio_Diversity_Biomass_Bacteria,Ratio_Diversity_Biomass_Fungi
1.00,DryForest,35.397,10.7,357,3.29,8.11,19.59,1,0,1.91,#,1842.00,0,71.08,24.912823667432,155.216674301781,1.5291871822345,#
2.00,DryForest,35.397,10.7,357,3.29,6.71,19.59,1,0,3.06,131.00,1920.00,96.85,72,25.3104588823212,83.9849715914932,1.81672948264928,1.37060455245556
3.00,DryForest,35.397,10.7,357,3.29,7.22,19.59,1,0,0.38,135.00,1832.00,89.8,71.76,7.32021516931662,54.79454953526,1.98616474053285,1.9194156451821
4.00,DryForest,35.397,10.7,357,3.29,7.53,19.59,1,0,0.17,31.00,1892.00,96.15,58.14,0.483541922058793,11.154925402697,2.80019599407722,2.63449587705666
5.00,DryForest,35.397,10.7,357,3.29,7.10,19.59,1,0,0.47,111.00,1810.00,99.45,70.1,18.3967185388673,62.8479853541392,1.91836891476257,1.43174393603118
6.00,DryForest,35.144,10.9,393,26.54,7.82,68.02,1,0,3.44,#,1927.00,0,75.76,16.4147049511287,121.691729467789,1.65550489405249,#
7.00,DryForest,35.144,10.9,393,26.54,8.01,68.02,1,0,2.41,160.00,2370.00,92.05,69.84,9.98938343382345,173.860529412338,1.5966723617966,1.85892855893399
8.00,DryForest,35.144,10.9,393,26.54,7.35,68.02,1,0,1.26,129.00,2400.00,94.95,67.08,12.0100138284616,152.461616812846,1.6591697461682,1.6819514033992
9.00,DryForest,35.144,10.9,393,26.54,7.16,68.02,1,0,1.07,164.00,1378.00,86.95,63.78,33.0014557431607,174.589820676751,1.34255330278784,1.35751464319428
10.00,DryForest,35.144,10.9,393,26.54,7.33,68.02,1,0,1.02,214.00,2249.00,82.25,68.82,5.99662521585208,112.079683244673,1.76333808703931,2.21530462418375
11.00,DryForest,35.539,8,469,61.50,7.49,61.86,1,0,4.85,120.00,2391.00,98.7,66.66,558.829832081671,581.945295550894,1.09599035096013,0.2832078076879
12.00,DryForest,35.539,8,469,61.50,7.24,61.86,1,0,4.04,189.00,#,97,0,85.7601858031489,327.293291540943,#,1.02829127072875
13.00,DryForest,35.539,8,469,61.50,7.61,61.86,1,0,6.89,140.00,2361.00,96.95,70.58,57.5692179309939,356.097195013961,1.29130818988126,1.06236410462304
14.00,DryForest,35.539,8,469,61.50,7.19,61.86,1,0,2.92,179.00,2331.00,89.8,61.92,18.5100585080868,179.541914427391,1.57524848067862,1.64119894670764
15.00,DryForest,35.539,8,469,61.50,6.66,61.86,1,0,9.32,146.00,2461.00,98.75,67.04,246.555825590901,413.581167236472,1.24771794760848,0.552082927585084
16.00,DryForest,35.385,9.1,489,71.06,7.39,61.75,1,0,4.49,#,1133.00,0,77.12,110.631505063159,379.893108164308,0.935238946563867,#
17.00,DryForest,35.385,9.1,489,71.06,7.02,61.75,1,0,3.42,123.00,2432.00,97.4,65.96,84.6182213578357,278.454467638545,1.40757443214761,0.860260934950371
18.00,DryForest,35.385,9.1,489,71.06,7.13,61.75,1,0,2.05,191.00,2145.00,81.75,67.96,12.5223354752985,162.703868636812,1.57946205365944,1.83912883503759
19.00,DryForest,35.385,9.1,489,71.06,7.56,61.75,1,0,2.97,154.00,2418.00,97.15,64.64,30.5445081174785,196.361428657272,1.55352599368346,1.36254764120048
20.00,DryForest,35.385,9.1,489,71.06,7.16,61.75,1,0,1.41,124.00,1868.00,91.2,66.62,9.91995579339093,135.272038514344,1.59504436080972,1.74731307367017
21.00,Grassland,39.954,9.5,428,30.34,4.94,97.00,0,1,4.14,183.00,1757.00,92.6,64.92,30.9283179643212,450.270279406675,1.06447220419434,1.43236305019062
22.00,Grassland,39.954,9.5,428,30.34,6.10,97.00,0,1,2.17,199.00,2088.00,89.25,59.58,17.6930580639697,323.493804410408,1.27624470752602,1.70739571297671
23.00,Grassland,39.954,9.5,428,30.34,6.25,97.00,0,1,2.25,255.00,2157.00,86.9,63.9,24.1851117995296,273.198081578291,1.36147190725272,1.68179729565411
24.00,Grassland,39.954,9.5,428,30.34,5.48,97.00,0,1,4.47,229.00,2020.00,85.95,64.64,77.0294534342172,385.987596627807,1.18861633296598,1.15046228101171
25.00,Grassland,39.954,9.5,428,30.34,4.99,97.00,0,1,5.12,209.00,1853.00,90.15,66.22,47.1924912497834,489.067605629081,1.05486495346269,1.3128757981373
26.00,Grassland,39.958,9.6,428,32.97,5.80,87.47,0,1,2.97,224.00,2134.00,92.25,62.22,29.9211008627832,490.395889054705,1.11552206393963,1.53432530047346
27.00,Grassland,39.958,9.6,428,32.97,6.43,87.47,0,1,3.73,231.00,2059.00,86.6,62.8,24.9416005291785,396.37063346436,1.18625298170614,1.6253732572878
28.00,Grassland,39.958,9.6,428,32.97,6.14,87.47,0,1,3.85,258.00,2123.00,79.45,66,23.2933728517679,397.586855291959,1.19858201140106,1.70305401926273
29.00,Grassland,39.958,9.6,428,32.97,5.93,87.47,0,1,3.39,246.00,2217.00,91.55,67.2,36.1474993547063,427.703803988368,1.18785119206698,1.49483038249156
