Name,Citation,,Year,Country,Longitude,Latitude,Elevation (m),MAP (mm),MAT (��C),Soil type (FAO),Land-use type,,,depth,Sand,Silt,Clay,pH,soil C,soil N,soil P,SMB C,SMB N,SMB P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,0~10,327,189,484,6.2,7410.1,535.5,,179.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,0~10,334,306,360,6.6,5911.4,371.3,,113.6,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,0~10,280,271,449,6,4829,328.4,,98.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,0~10,280,271,449,6.2,5078.8,335.6,,112.6,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,10~20,327,189,484,5.9,4745.8,357,,96.6,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,10~20,334,306,360,6.3,3496.9,264.2,,74.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,10~20,280,271,449,6.4,3746.7,271.3,,56.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,10~20,280,271,449,5.8,2830.8,221.3,,63,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,20~30,327,189,484,5.8,2914.1,221.3,,49.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Burton, J., C. Chen, Z. Xu, and H. Ghadiri (2010), Soil microbial biomass, activity and community composition in adjacent native and plantation forests of subtropical Australia, J. Soils Sediments, 10(7), 1267-1277.",,2010,Australia,151,-26,,816,,Luvisols,Tropical/Subtropical Forest,,,20~30,334,306,360,6.2,2248,171.3,,35.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
